Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	1	0.0	183.3	895685.7	895869.0	183.3	00:00:00:082	00:00:00:291	-	-	-	-	-	-	-	795.3	264.6	866.2	278.0	2.8	3703.8	11926.4	0.0	59.0	201.6	72.8	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	1	183.3	300.0	895869.0	895985.7	116.7	00:00:00:291	00:00:00:374	861.3	276.1	60.6	42.0	3.0	5.8	6.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	2	300.0	382.8	895985.7	896068.5	82.8	00:00:00:374	00:00:00:457	-	-	-	-	-	-	-	869.9	279.4	850.7	460.4	7.8	6917.0	16802.0	271.0	114.1	261.9	59.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	2	382.8	748.8	896068.5	896434.6	366.0	00:00:00:457	00:00:00:832	864.7	431.1	61.9	47.5	3.2	22.7	53.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	3	748.8	815.4	896434.6	896501.1	66.5	00:00:00:832	00:00:00:916	-	-	-	-	-	-	-	851.1	407.5	612.7	487.5	10.2	9991.6	16298.5	422.6	177.1	392.6	50.3	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	3	815.4	915.2	896501.1	896600.9	99.8	00:00:00:916	00:00:00:999	606.7	485.0	64.5	51.3	3.3	17.1	7.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	4	915.2	981.8	896600.9	896667.5	66.6	00:00:00:999	00:00:01:041	-	-	-	-	-	-	-	592.7	506.8	632.6	508.7	3.2	1851.3	2836.7	35.7	43.1	51.1	0.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	4	981.8	1397.8	896667.5	897083.5	416.0	00:00:01:041	00:00:01:499	662.7	502.2	67.1	55.4	3.5	91.9	22.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	5	1397.8	1464.4	897083.5	897150.2	66.6	00:00:01:499	00:00:01:541	-	-	-	-	-	-	-	694.5	547.9	576.9	427.3	6.3	15738.2	31488.5	58.0	208.8	436.0	50.4	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	5	1464.4	1630.8	897150.2	897316.5	166.4	00:00:01:541	00:00:01:707	562.2	399.2	69.7	53.3	3.6	29.7	43.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	6	1630.8	1714.2	897316.5	897399.9	83.4	00:00:01:707	00:00:01:791	-	-	-	-	-	-	-	548.9	379.4	741.5	220.8	12.3	8638.7	11226.2	725.4	146.6	339.8	40.1	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	6	1714.2	1863.7	897399.9	897549.5	149.6	00:00:01:791	00:00:01:957	728.6	213.9	69.3	45.7	3.6	25.9	26.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	7	1863.7	1913.6	897549.5	897599.4	49.9	00:00:01:957	00:00:01:999	-	-	-	-	-	-	-	720.1	232.3	815.7	129.1	6.4	7365.6	14331.7	1291.2	134.7	244.8	33.4	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	7	1913.6	2179.9	897599.4	897865.7	266.3	00:00:01:999	00:00:02:249	782.3	158.4	69.3	44.2	3.6	51.4	62.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	8	2179.9	2246.5	897865.7	897932.2	66.5	00:00:02:249	00:00:02:332	-	-	-	-	-	-	-	779.4	196.4	732.8	175.4	1.8	5740.1	11909.0	374.2	63.0	159.3	50.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	8	2246.5	2546.1	897932.2	898231.8	299.7	00:00:02:332	00:00:02:624	788.0	280.3	69.2	47.8	3.5	120.7	178.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	9	2546.1	2612.6	898231.8	898298.4	66.5	00:00:02:624	00:00:02:707	-	-	-	-	-	-	-	859.0	366.0	923.2	445.8	4.0	5721.3	11098.7	456.4	76.1	204.7	50.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	9	2612.6	2812.2	898298.4	898498.0	199.6	00:00:02:707	00:00:02:874	931.3	378.5	67.1	51.3	3.6	20.3	113.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	10	2812.2	2878.8	898498.0	898564.5	66.5	00:00:02:874	00:00:02:956	-	-	-	-	-	-	-	909.0	326.3	888.8	246.2	3.6	4121.2	8359.7	8.9	68.6	157.3	50.4	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	10	2878.8	3162.1	898564.5	898847.8	283.3	00:00:02:956	00:00:03:248	876.2	258.8	69.1	47.9	3.5	29.9	42.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	11	3162.1	3228.4	898847.8	898914.2	66.4	00:00:03:248	00:00:03:331	-	-	-	-	-	-	-	859.6	286.7	893.5	152.5	5.7	4733.3	9976.6	202.0	102.7	166.6	49.5	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	11	3228.4	3794.0	898914.2	899479.7	565.5	00:00:03:331	00:00:03:873	877.5	216.6	68.6	46.6	3.6	38.3	89.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	12	3794.0	3860.7	899479.7	899546.5	66.8	00:00:03:873	00:00:03:956	-	-	-	-	-	-	-	881.2	228.2	832.2	321.5	4.1	3333.6	8741.5	118.0	77.6	158.2	50.1	-	-	-	-	-	-	-	-	-
