Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	1	0.0	49.7	207381.9	207431.6	49.7	00:00:00:082	00:00:00:124	-	-	-	-	-	-	-	689.4	592.6	682.3	564.1	1.4	1231.3	2081.0	0.0	27.7	56.8	66.6	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	1	49.7	282.5	207431.6	207664.4	232.8	00:00:00:124	00:00:00:374	651.6	556.7	57.2	47.9	2.9	45.9	9.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	2	282.5	349.0	207664.4	207731.0	66.5	00:00:00:374	00:00:00:457	-	-	-	-	-	-	-	645.2	560.3	800.4	572.5	8.1	9859.1	18519.2	3.3	118.6	347.7	50.0	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	2	349.0	499.1	207731.0	207881.0	150.0	00:00:00:457	00:00:00:582	786.0	572.7	56.6	47.8	2.9	26.0	2.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	3	499.1	565.4	207881.0	207947.3	66.3	00:00:00:582	00:00:00:666	-	-	-	-	-	-	-	803.5	580.0	916.7	597.3	5.4	7875.5	15930.0	145.2	109.9	251.1	49.8	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	3	565.4	798.3	207947.3	208180.3	233.0	00:00:00:666	00:00:00:874	914.2	601.3	55.1	48.9	2.9	7.4	11.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	4	798.3	881.8	208180.3	208263.8	83.5	00:00:00:874	00:00:00:957	-	-	-	-	-	-	-	911.4	606.2	558.6	649.4	16.2	9278.4	22650.0	231.2	197.6	431.9	40.2	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	4	881.8	1014.8	208263.8	208396.8	133.0	00:00:00:957	00:00:01:082	560.9	643.4	57.6	50.1	2.9	4.4	13.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	5	1014.8	1064.8	208396.8	208446.7	50.0	00:00:01:082	00:00:01:166	-	-	-	-	-	-	-	563.6	636.2	500.9	628.3	2.8	5160.6	8555.0	655.6	63.6	136.3	32.9	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	5	1064.8	1297.7	208446.7	208679.7	232.9	00:00:01:166	00:00:01:374	516.9	617.6	56.1	48.9	2.9	32.0	17.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
